recorded_at,period_key,month_num,store_key,brand_name,flavor_name,tupper_basic,tupper_reserve,merch_pkg_50,merch_pkg_100,merch_pkg_125,merch_pkg_200,merch_pkg_250,merch_pkg_1kg,stock_pkg_50,stock_pkg_100,stock_pkg_125,stock_pkg_200,stock_pkg_250,stock_pkg_1kg,stock_other
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),D Cherry,,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Down Under,,,,,,,,,,160,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Down Under,14,220,,5,,,,,,4,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Down Under,68,0,,1,,,,,,7,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Down Under,180,214,,4,,,,,,5,,,,,
2025-12-26,202512,12,office,AZR BLACK (Azure Black Line),Down Under (Black),,,,,,,,,,50,,,,,
2025-12-25,202512,12,baba_main,AZR BLACK (Azure Black Line),Down Under (Black),,,,,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR BLACK (Azure Black Line),Down Under (Black),,,,,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR BLACK (Azure Black Line),Down Under (Black),,,,,,,,,,,,,,,
2025-12-26,202512,12,office,AZR BLACK (Azure Black Line),Dubai Apple (Black),,,,,,,,,,33,,,,,
2025-12-25,202512,12,baba_main,AZR BLACK (Azure Black Line),Dubai Apple (Black),51,,,1,,,,,,,,,,,
2025-12-26,202512,12,nakano,AZR BLACK (Azure Black Line),Dubai Apple (Black),54,,,1,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR BLACK (Azure Black Line),Dubai Apple (Black),18,,,4,,,,,,,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Grapefruit,,,,,,,,,,195,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Grapefruit,212,14,,,,,,,,4,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Grapefruit,175,,,,,,,,,6,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Grapefruit,168,203,,5,,,,,,4,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Green Tea,,,,,,,,,,195,,,,,
2025-12-25,202512,12,baba_main,AZR GOLD (Azure Gold Line),Green Tea,33,213,,5,,,,,,5,,,,,
2025-12-26,202512,12,nakano,AZR GOLD (Azure Gold Line),Green Tea,128,213,,5,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR GOLD (Azure Gold Line),Green Tea,129,244,,4,,,,,,5,,,,,
2025-12-26,202512,12,office,AZR BLACK (Azure Black Line),Green Tea (Black),,,,,,,,,,53,,,,,
2025-12-25,202512,12,baba_main,AZR BLACK (Azure Black Line),Green Tea (Black),79,,,1,,,,,,1,,,,,
2025-12-26,202512,12,nakano,AZR BLACK (Azure Black Line),Green Tea (Black),66,,,1,,,,,,,,,,,
2025-12-22,202512,12,baba_2nd,AZR BLACK (Azure Black Line),Green Tea (Black),21,,,2,,,,,,,,,,,
2025-12-26,202512,12,office,AZR GOLD (Azure Gold Line),Guavi,,,,,,,,,,55,,,,,
